Comment,Designator,Footprint,LCSC
Conn_01x04_Pin,J6,PinSocket_1x04_P2.54mm_Vertical,
Conn_01x08_Pin,J7,PinSocket_1x08_P2.54mm_Vertical,
Conn_01x32_Pin,J2,PinSocket_2x16_P2.54mm_Vertical,
Conn_01x04_Pin,J8,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x08_Pin,J5,PinSocket_1x08_P2.54mm_Vertical,
Conn_01x07_Pin,J4,PinSocket_1x07_P2.54mm_Vertical,
Conn_01x04_Pin,J9,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04_Pin,J1,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,
Arduino_Mega2560_Shield,XA1,Arduino_Mega2560_custom_Shield,
