Item;Qty;Reference(s);Value;LCSC
61;4;"U6; U7; U8; U9";DRV8871;C75864
60;1;U5;TCA9548A;C130026
59;1;U4;TPS3700;C3658987
58;1;U3;L7808;C126455
57;1;U2;AMS1117-3.3;C6186
56;1;U1;LMR33630;C841384
46;1;R5;24.9k;C234406
45;2;"R3; R4";100k;C25197
54;4;"R23; R29; R34; R39";30k;C140100
53;1;R18;14k3 1%;C100771
52;1;R15;1k47 1%;C103297
51;9;"R14; R21; R22; R26; R27; R32; R33; R37; R38";1k;C22548
50;2;"R13; R28";20;
49;1;R12;200;
48;1;R11;10k;
47;1;R10;383k 1%;
44;18;"R1; R2; R6; R7; R8; R9; R16; R17; R19; R20; R24; R25; R30; R31; R35; R36; R40; R41";4k7;
43;1;Q1;IRF7416;
42;1;L1;1.5µ;
16;16;"F3; F4; F6; F7; F9; F10; F12; F13; F15; F16; F18; F19; F21; F22; F24; F25";10 mA;
18;1;F27;1A;
17;1;F26;3A;
15;1;F2;10A;
14;8;"F1; F5; F8; F11; F14; F17; F20; F23";100 mA;
10;11;"D6; D7; D8; D13; D14; D18; D19; D22; D23; D26; D27";GR;
13;1;D31;3V4;
12;1;D30;5V1;
9;1;D3;CDBA340-HF;
11;1;D17;RED;
8;16;"D1; D2; D4; D5; D9; D10; D11; D12; D15; D16; D20; D21; D24; D25; D28; D29";BAT42;
5;1;C7;1µ;
4;2;"C4; C5";22 µF;
3;11;"C3; C6; C8; C9; C11; C12; C14; C15; C16; C17; C18";100n;
2;1;C2;220n;
7;1;C13;100µ;
6;1;C10;22 µF;
1;1;C1;10µ;
