Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14",CP_Elec_6.3x7.7,3,100µ,C962164
"C10, C12, C13, C15, C16, C17, C18, C19, C20, C21, C3, C6, C8, C9",0603,14,100n,C14663
C2,0603,1,220n,C21120
"C4, C5",CP_EIA-7343-43_Kemet-X,2,33µ,C212716
C7,0603,1,1µ,C15849
"D1, D10, D11, D12, D15, D16, D2, D20, D21, D24, D25, D30, D31, D4, D5, D9",D_SOD-323,16,1N5819WS,C191023
"D13, D14, D18, D19, D22, D23, D28, D29, D6, D7, D8",0603,11,GR,C72043
D17,0603,1,RED,C2286
D3,D_SMA,1,SS54,C22452
D32,TO-277A,1,SB10100L,C113946
"F1, F10, F3, F4, F5, F6, F7, F8",0805,8,300 mA ptc,C261938
F11,1206,1,1A ptc,C910830
F2,Fuseholder_Cylinder-5x20mm_Wuerth_696103101002-SMD_Horizontal_Open,1,10A,C122783
F9,2920,1,3A ptc,C2977527
J1,"PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical",1,Battery,
J10,PinHeader_1x02_P2.54mm_Vertical,1,M3,
J11,PinHeader_1x04_P2.54mm_Vertical,1,I2C6,
J12,PinHeader_1x04_P2.54mm_Vertical,1,Power,
J13,PinHeader_1x02_P2.54mm_Vertical,1,M2,
J14,PinHeader_1x04_P2.54mm_Vertical,1,I2C7,
J2,PinHeader_1x04_P2.54mm_Vertical,1,I2C0,
J3,PinHeader_1x04_P2.54mm_Vertical,1,I2C1,
J4,PinHeader_1x04_P2.54mm_Vertical,1,I2C2,
J5,PinHeader_1x04_P2.54mm_Vertical,1,I2C3,
J6,PinHeader_1x02_P2.54mm_Vertical,1,M0,
J7,PinHeader_1x04_P2.54mm_Vertical,1,I2C4,
J8,PinHeader_1x02_P2.54mm_Vertical,1,M1,
J9,PinHeader_1x04_P2.54mm_Vertical,1,I2C5,
JP1,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C0_VCC,
JP10,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C6_VCC,
JP11,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C7_VCC,
JP12,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Bridged,
JP2,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C1_VCC,
JP3,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C2_VCC,
JP4,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C3_VCC,
JP5,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,A0,
JP6,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,A1,
JP7,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,A2,
JP8,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C4_VCC,
JP9,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,I2C5_VCC,
L1,L_Sunlord_SWPA4020S,1,1.5µ,C98360
Q1,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF 7424,C148149
Q2,SOT-23,1,2N7002,C8545
"R1, R10, R11, R2, R22, R23, R30, R31, R38, R39, R46, R47, R54, R55, R61, R62, R8, R9",0603,18,4k7,C23162
"R12, R15, R27, R28, R3, R33, R34, R4, R40, R41, R49, R50, R56, R57, R63, R64",0603,16,100,C22775
R13,0603,1,4700k 1%,C23163
"R14, R48",0603,2,10k,C25804
"R16, R35, R36, R43, R44, R51, R52, R58, R59, R72",0603,10,2k,C22975
R17,0603,1,620,C23228
R18,0603,1,330,C23138
R19,0603,1,10k 1%,C25804
"R20, R21",0603,2,240,C23350
R24,0603,1,390,C23151
"R25, R70",0603,2,1k3,C22767
R26,0603,1,180k 1%,C22827
R29,0603,1,300k 1%,C23024
R32,0603,1,100k 1%,C25803
"R37, R45, R53, R60",0805,4,30k,C22984
R42,0603,1,270,C22966
"R5, R6",0603,2,100k,C25803
"R65, R71",0603,2,1k,C21190
R69,0603,1,1k5,C22843
R7,0603,1,24.9k,C25962
RESET,SW_Push_1P1T_XKB_TS-1187A,1,SW_DIP_x01,C318884
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,23,~,
U1,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,LMR33630,C841384
"U11, U12",SOT-23,2,CJ431,C3113
"U2, U3",TO-252-2,2,LM317_TO-252,C75510
U4,SOT-23-6,1,TPS3700,C3658987
U5,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548A,C130026
"U6, U7, U8, U9",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,4,DRV8871,C75864
XA1,Arduino_Mega2560_custom_Shield,1,Arduino_Mega2560_Shield,
