Designator,Mid X,Mid Y,Rotation,Layer
C1,196.334,-90.07,0.0,top
C10,198.728,-119.524,270.0,top
C11,195.478,-114.324,270.0,top
C12,158.278,-98.024,270.0,top
C13,147.438,-104.424,0.0,top
C14,141.8844,-99.314,90.0,top
C15,127.14,-125.904,180.0,top
C16,127.127,-110.288,180.0,top
C17,126.278,-96.026,180.0,top
C18,127.14,-118.035,180.0,top
C19,168.878,-125.624,0.0,top
C2,203.634,-94.87,0.0,top
C20,165.678,-125.624,0.0,top
C21,206.834,-94.87,180.0,top
C3,204.434,-104.27,0.0,top
C4,205.634,-86.47,0.0,top
C5,205.634,-91.47,0.0,top
C6,186.0545,-116.2785,90.0,top
C7,201.834,-105.07,270.0,top
C8,178.78,-83.9775,90.0,top
C9,210.003,-109.274,0.0,top
D1,188.0865,-104.0045,270.0,top
D10,177.6725,-104.2045,270.0,top
D11,169.5445,-104.2045,270.0,top
D12,171.5765,-104.2045,270.0,top
D13,132.334,-120.2875,90.0,top
D14,130.81,-120.2875,270.0,top
D15,173.8305,-124.666,90.0,top
D16,171.8305,-124.666,90.0,top
D17,125.095,-88.5445,90.0,top
D18,132.374,-112.424,90.0,top
D19,130.85,-112.424,270.0,top
D2,190.1185,-104.0045,270.0,top
D20,179.9585,-124.666,90.0,top
D21,178.034,-124.666,90.0,top
D22,132.374,-97.8875,90.0,top
D23,130.85,-97.8875,270.0,top
D24,186.196,-124.666,90.0,top
D25,184.164,-124.666,90.0,top
D28,132.374,-104.3195,90.0,top
D29,130.85,-104.3195,270.0,top
D3,141.573,-127.889,180.0,top
D30,192.292,-124.666,90.0,top
D31,190.26,-124.666,90.0,top
D32,173.863,-85.583,90.0,top
D4,181.9445,-104.2045,270.0,top
D5,183.9445,-104.2045,270.0,top
D6,160.078,-101.224,270.0,top
D7,161.878,-101.224,270.0,top
D8,163.678,-101.224,270.0,top
D9,175.6405,-104.2045,270.0,top
F1,192.1505,-107.4925,90.0,top
F10,188.2525,-121.144,270.0,top
F11,162.2268,-94.996,180.0,top
F2,151.774,-88.27,0.0,top
F3,186.0545,-107.4385,90.0,top
F4,179.9445,-107.614,90.0,top
F5,173.6085,-107.6925,90.0,top
F6,170.0525,-121.144,270.0,top
F7,176.1485,-121.144,270.0,top
F8,182.132,-121.144,270.0,top
F9,189.6525,-97.6884,180.0,top
L1,207.634,-99.47,90.0,top
Q1,183.478,-85.274,270.0,top
Q2,122.6335,-92.075,180.0,top
R1,190.1445,-107.4925,90.0,top
R10,184.0225,-107.4925,90.0,top
R11,181.9905,-107.4925,90.0,top
R12,166.9245,-109.6445,180.0,top
R13,187.568,-92.024,270.0,top
R14,178.7652,-87.1342,270.0,top
R15,166.9245,-111.1685,180.0,top
R16,160.078,-98.024,90.0,top
R17,161.878,-98.064,90.0,top
R18,163.678,-98.024,90.0,top
R19,185.968,-92.024,90.0,top
R2,188.0865,-107.4925,90.0,top
R20,201.419,-118.744,180.0,top
R21,149.009,-95.641,180.0,top
R22,177.6725,-107.585,90.0,top
R23,175.6405,-107.614,90.0,top
R24,204.6525,-118.744,180.0,top
R25,152.209,-95.641,180.0,top
R26,184.368,-92.024,270.0,top
R27,166.9245,-106.5965,180.0,top
R28,166.9245,-108.1205,180.0,top
R29,198.478,-124.544,270.0,top
R3,166.9245,-112.6925,180.0,top
R30,171.5445,-107.6925,90.0,top
R31,169.5445,-107.6925,90.0,top
R32,196.0525,-125.275,180.0,top
R33,166.9245,-105.0725,180.0,top
R34,166.9245,-103.5485,180.0,top
R35,132.334,-123.424,90.0,top
R36,130.81,-123.424,90.0,top
R37,123.628,-125.904,0.0,top
R38,171.8305,-121.144,270.0,top
R39,173.8625,-121.11,270.0,top
R4,171.3055,-113.7085,180.0,top
R40,165.678,-124.024,180.0,top
R41,168.878,-124.024,180.0,top
R42,123.444,-88.582,90.0,top
R43,132.374,-115.5605,90.0,top
R44,130.85,-115.5605,90.0,top
R45,123.5715,-118.0865,0.0,top
R46,178.1805,-121.144,270.0,top
R47,179.9585,-121.144,270.0,top
R48,121.793,-88.582,270.0,top
R49,166.878,-120.624,180.0,top
R5,199.434,-104.07,0.0,top
R50,166.878,-122.224,180.0,top
R51,132.374,-101.024,90.0,top
R52,130.85,-101.024,90.0,top
R53,122.468,-95.264,0.0,top
R54,184.164,-121.144,270.0,top
R55,186.196,-121.144,270.0,top
R56,166.878,-117.424,180.0,top
R57,166.878,-119.024,180.0,top
R58,132.374,-107.456,90.0,top
R59,130.85,-107.456,90.0,top
R6,198.834,-95.87,270.0,top
R60,123.6895,-110.2695,0.0,top
R61,190.2525,-121.144,270.0,top
R62,192.292,-121.144,270.0,top
R63,171.3055,-115.2325,180.0,top
R64,166.878,-115.824,180.0,top
R65,178.78,-90.1822,90.0,top
R69,180.1876,-99.7326,90.0,top
R7,198.834,-101.47,90.0,top
R70,178.562,-99.7326,90.0,top
R71,180.1876,-96.5058,90.0,top
R72,178.562,-96.5058,90.0,top
R8,187.6415,-113.4715,180.0,top
R9,187.6415,-111.6935,180.0,top
RESET,123.474,-82.121,270.0,top
U1,202.434,-99.47,270.0,top
U11,182.9816,-99.6188,180.0,top
U12,183.0172,-96.0859,180.0,top
U2,206.248,-113.999,180.0,top
U3,152.908,-100.024,180.0,top
U4,181.508,-91.6225,270.0,top
U5,180.9745,-114.2335,180.0,top
U6,125.548,-122.124,0.0,top
U7,125.404,-114.3065,0.0,top
U8,125.579,-99.8045,0.0,top
U9,125.456,-106.1215,0.0,top
